nohup: ignoring input
[*] Initializing face detection and recognition models...
[*] Loaded 33 camera IDs
[*] Connecting to databases...
[*] Processing up to 116519 records starting from offset 100...
[+] Processed: 16, Inserted: 10, Skipped: 6
[+] Processed: 26, Inserted: 20, Skipped: 6
[+] Processed: 36, Inserted: 30, Skipped: 6
[+] Processed: 48, Inserted: 40, Skipped: 8
[+] Processed: 62, Inserted: 50, Skipped: 12
[+] Processed: 72, Inserted: 60, Skipped: 12
[+] Processed: 88, Inserted: 70, Skipped: 18
[+] Processed: 98, Inserted: 80, Skipped: 18
[+] Processed: 108, Inserted: 90, Skipped: 18
[+] Processed: 120, Inserted: 100, Skipped: 20
[+] Processed: 132, Inserted: 110, Skipped: 22
[+] Processed: 144, Inserted: 120, Skipped: 24
[+] Processed: 154, Inserted: 130, Skipped: 24
[+] Processed: 166, Inserted: 140, Skipped: 26
[+] Processed: 176, Inserted: 150, Skipped: 26
[+] Processed: 188, Inserted: 160, Skipped: 28
[+] Processed: 204, Inserted: 170, Skipped: 34
[+] Processed: 216, Inserted: 180, Skipped: 36
[+] Processed: 228, Inserted: 190, Skipped: 38
[+] Processed: 244, Inserted: 200, Skipped: 44
[+] Processed: 254, Inserted: 210, Skipped: 44
[+] Processed: 264, Inserted: 220, Skipped: 44
[+] Processed: 274, Inserted: 230, Skipped: 44
[+] Processed: 288, Inserted: 240, Skipped: 48
[+] Processed: 298, Inserted: 250, Skipped: 48
[+] Processed: 308, Inserted: 260, Skipped: 48
[+] Processed: 322, Inserted: 270, Skipped: 52
[+] Processed: 334, Inserted: 280, Skipped: 54
[+] Processed: 346, Inserted: 290, Skipped: 56
[+] Processed: 358, Inserted: 300, Skipped: 58
[+] Processed: 370, Inserted: 310, Skipped: 60
[+] Processed: 380, Inserted: 320, Skipped: 60
[+] Processed: 394, Inserted: 330, Skipped: 64
[+] Processed: 404, Inserted: 340, Skipped: 64
[+] Processed: 414, Inserted: 350, Skipped: 64
[+] Processed: 426, Inserted: 360, Skipped: 66
[+] Processed: 436, Inserted: 370, Skipped: 66
[+] Processed: 448, Inserted: 380, Skipped: 68
[+] Processed: 460, Inserted: 390, Skipped: 70
[+] Processed: 472, Inserted: 400, Skipped: 72
[+] Processed: 484, Inserted: 410, Skipped: 74
[+] Processed: 496, Inserted: 420, Skipped: 76
[+] Processed: 510, Inserted: 430, Skipped: 80
[+] Processed: 524, Inserted: 440, Skipped: 84
[+] Processed: 536, Inserted: 450, Skipped: 86
[+] Processed: 548, Inserted: 460, Skipped: 88
[+] Processed: 558, Inserted: 470, Skipped: 88
[+] Processed: 574, Inserted: 480, Skipped: 94
[+] Processed: 584, Inserted: 490, Skipped: 94
[+] Processed: 594, Inserted: 500, Skipped: 94
[+] Processed: 604, Inserted: 510, Skipped: 94
[+] Processed: 614, Inserted: 520, Skipped: 94
[+] Processed: 630, Inserted: 530, Skipped: 100
[+] Processed: 640, Inserted: 540, Skipped: 100
[+] Processed: 652, Inserted: 550, Skipped: 102
[+] Processed: 668, Inserted: 560, Skipped: 108
[+] Processed: 678, Inserted: 570, Skipped: 108
[+] Processed: 692, Inserted: 580, Skipped: 112
[+] Processed: 704, Inserted: 590, Skipped: 114
[+] Processed: 714, Inserted: 600, Skipped: 114
[+] Processed: 724, Inserted: 610, Skipped: 114
[+] Processed: 742, Inserted: 620, Skipped: 122
[+] Processed: 752, Inserted: 630, Skipped: 122
[+] Processed: 764, Inserted: 640, Skipped: 124
[+] Processed: 774, Inserted: 650, Skipped: 124
[+] Processed: 784, Inserted: 660, Skipped: 124
[+] Processed: 800, Inserted: 670, Skipped: 130
[+] Processed: 812, Inserted: 680, Skipped: 132
[+] Processed: 822, Inserted: 690, Skipped: 132
[+] Processed: 832, Inserted: 700, Skipped: 132
[+] Processed: 842, Inserted: 710, Skipped: 132
